w_ang,w_unc,w_vel,lr,bigru_layers,bigru_hidden,att_heads,early_stop_epoch,val_loss,test_loss,timestamp
0.5,0.0,0.0,0.001,2,256,4,45,0.0118,0.0164,2025-09-26 00:16:54
0.5,0.0,0.0,0.0008,2,256,4,19,0.0285,0.0379,2025-09-26 00:17:00
0.5,0.0,0.0,0.0005,2,256,4,75,0.0086,0.0140,2025-09-26 00:17:28
0.5,0.0,0.01,0.001,2,256,4,44,0.0121,0.0175,2025-09-26 00:17:45
0.5,0.0,0.01,0.0008,2,256,4,64,0.0110,0.0175,2025-09-26 00:18:09
0.5,0.0,0.01,0.0005,2,256,4,63,0.0107,0.0170,2025-09-26 00:18:33
0.5,0.0,0.05,0.001,2,256,4,27,0.0195,0.0367,2025-09-26 00:18:43
0.5,0.0,0.05,0.0008,2,256,4,47,0.0139,0.0269,2025-09-26 00:19:00
0.5,0.0,0.05,0.0005,2,256,4,66,0.0118,0.0139,2025-09-26 00:19:25
0.5,0.0,0.1,0.001,2,256,4,63,0.0109,0.0153,2025-09-26 00:19:48
0.5,0.0,0.1,0.0008,2,256,4,46,0.0125,0.0140,2025-09-26 00:20:06
0.5,0.0,0.1,0.0005,2,256,4,49,0.0132,0.0162,2025-09-26 00:20:24
0.5,0.05,0.0,0.001,2,256,4,38,-0.0410,0.0020,2025-09-26 00:20:39
0.5,0.05,0.0,0.0008,2,256,4,27,-0.0391,-0.0069,2025-09-26 00:20:50
0.5,0.05,0.0,0.0005,2,256,4,38,-0.0508,-0.0399,2025-09-26 00:21:05
0.5,0.05,0.01,0.001,2,256,4,33,-0.0348,-0.0268,2025-09-26 00:21:17
0.5,0.05,0.01,0.0008,2,256,4,32,-0.0396,-0.0212,2025-09-26 00:21:30
0.5,0.05,0.01,0.0005,2,256,4,57,-0.0609,-0.0272,2025-09-26 00:21:52
0.5,0.05,0.05,0.001,2,256,4,31,-0.0381,0.0073,2025-09-26 00:22:04
0.5,0.05,0.05,0.0008,2,256,4,50,-0.0541,-0.0503,2025-09-26 00:22:30
0.5,0.05,0.05,0.0005,2,256,4,49,-0.0514,-0.0398,2025-09-26 00:22:56
0.5,0.05,0.1,0.001,2,256,4,30,-0.0429,-0.0038,2025-09-26 00:23:13
0.5,0.05,0.1,0.0008,2,256,4,26,-0.0464,-0.0250,2025-09-26 00:23:26
0.5,0.05,0.1,0.0005,2,256,4,31,-0.0502,-0.0398,2025-09-26 00:23:43
