tcn_blocks,tcn_dilations,pooling_type,gru_layers,gru_units,aug_status,early_stop_epoch,val_loss,test_loss,timestamp
1,[1],none,1,64,False,69,65.3588,50.0496,2025-09-25 12:41:48
1,[1],none,1,64,True,None,45.5651,40.3276,2025-09-25 12:45:01
1,[1],none,1,128,False,91,41.3384,34.7764,2025-09-25 12:45:15
1,[1],none,1,128,True,64,129.9195,110.5476,2025-09-25 12:46:55
1,[1],none,1,256,False,None,29.7132,33.7305,2025-09-25 12:47:18
1,[1],none,1,256,True,None,37.3853,32.0966,2025-09-25 12:50:40
1,[1],none,2,64,False,None,52.7336,46.5860,2025-09-25 12:50:59
1,[1],none,2,64,True,22,337.6748,343.0197,2025-09-25 12:51:34
1,[1],none,2,128,False,17,512.4615,509.4866,2025-09-25 12:51:37
1,[1],none,2,128,True,66,138.0606,132.1994,2025-09-25 12:53:22
1,[1],none,2,256,False,20,512.6289,505.3103,2025-09-25 12:53:26
1,[1],none,2,256,True,28,339.0198,346.6999,2025-09-25 12:54:11
1,[1],none,3,64,False,21,514.2766,510.3643,2025-09-25 12:54:14
1,[1],none,3,64,True,21,335.4196,345.6100,2025-09-25 12:54:47
1,[1],none,3,128,False,18,514.3070,511.5171,2025-09-25 12:54:50
1,[1],none,3,128,True,46,335.9116,347.5583,2025-09-25 12:56:04
1,[1],none,3,256,False,20,514.4319,509.2373,2025-09-25 12:56:09
1,[1],none,3,256,True,26,337.9013,342.7683,2025-09-25 12:56:51
1,[1],average,1,64,False,108,56.7582,40.5249,2025-09-25 12:57:09
1,[1],average,1,64,True,95,56.7251,52.5468,2025-09-25 12:59:43
1,[1],average,1,128,False,89,60.9843,46.1429,2025-09-25 12:59:57
1,[1],average,1,128,True,109,52.3261,47.3723,2025-09-25 13:02:53
1,[1],average,1,256,False,19,512.7765,508.1499,2025-09-25 13:02:56
1,[1],average,1,256,True,None,39.3503,31.3964,2025-09-25 13:06:09
1,[1],average,2,64,False,20,514.3057,505.5789,2025-09-25 13:06:13
1,[1],average,2,64,True,67,145.7486,161.9682,2025-09-25 13:08:03
1,[1],average,2,128,False,17,514.4029,507.9168,2025-09-25 13:08:05
1,[1],average,2,128,True,43,336.4493,348.3615,2025-09-25 13:09:15
1,[1],average,2,256,False,18,513.3438,507.8876,2025-09-25 13:09:18
1,[1],average,2,256,True,26,336.1945,338.7171,2025-09-25 13:10:10
1,[1],average,3,64,False,29,514.3216,505.6679,2025-09-25 13:10:16
1,[1],average,3,64,True,34,337.3411,336.5078,2025-09-25 13:11:30
1,[1],average,3,128,False,24,512.3553,508.4838,2025-09-25 13:11:35
1,[1],average,3,128,True,25,335.5494,342.4124,2025-09-25 13:12:29
1,[1],average,3,256,False,23,513.1224,505.9162,2025-09-25 13:12:35
1,[1],average,3,256,True,20,340.0030,342.1620,2025-09-25 13:13:22
1,[1],max,1,64,False,93,59.3852,45.0668,2025-09-25 13:13:43
1,[1],max,1,64,True,49,143.2009,128.9941,2025-09-25 13:15:41
1,[1],max,1,128,False,113,48.5660,42.4401,2025-09-25 13:16:07
1,[1],max,1,128,True,18,339.8562,344.0695,2025-09-25 13:16:49
1,[1],max,1,256,False,None,42.2107,36.7594,2025-09-25 13:17:17
1,[1],max,1,256,True,None,41.1846,33.1587,2025-09-25 13:21:54
1,[1],max,2,64,False,20,512.3766,505.2452,2025-09-25 13:21:59
